WK,Game Date,Opp,Result,G,GS,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/11,@ IND,W   39-35,1,1,31,39,79.5,340,8.7,3,0,1,8,128.6,2,5,2.5,0,0,0
2,09/18,TEN,L   15-16,1,1,22,40,55,260,6.5,1,1,4,22,72.9,2,31,15.5,0,0,0
3,09/25,@ GB,L   27-34,1,1,28,41,68.3,385,9.4,3,1,3,17,112.3,2,11,5.5,0,0,0
4,10/02,@ CHI,L   14-17,1,1,23,36,63.9,213,5.9,0,2,2,16,56.8,2,17,8.5,0,0,0
5,10/09,PHI,W   24-23,1,1,19,25,76,180,7.2,3,0,4,16,135,6,16,2.7,0,1,1
6,10/16,LA,W   31-28,1,1,23,31,74.2,270,8.7,4,0,1,5,139.8,5,14,2.8,0,0,0
7,10/23,WAS,W   20-17,1,1,18,29,62.1,266,9.2,1,0,3,16,103.5,2,32,16,0,1,0
8,10/30,@ HOU,L   13-20,1,1,27,41,65.9,240,5.9,1,0,1,9,89.5,0,0,0,0,0,0
9,11/06,@ MIN,W   22-16,1,1,23,36,63.9,219,6.1,2,1,1,5,87.6,0,0,0,0,0,0
11,11/20,JAX,W   26-19,1,1,24,33,72.7,278,8.4,0,0,3,15,97.8,2,0,0,0,0,0
12,11/24,MIN,W   16-13,1,1,23,40,57.5,232,5.8,1,0,2,18,82.5,4,30,7.5,0,0,0
13,12/04,@ NO,W   28-13,1,1,30,42,71.4,341,8.1,2,0,2,4,111.3,3,22,7.3,0,0,0
14,12/11,CHI,W   20-17,1,1,21,35,60,223,6.4,1,2,3,14,64.3,4,15,3.8,1,0,0
15,12/18,@ NYG,L   6-17,1,1,24,39,61.5,273,7,0,1,1,5,71.8,2,13,6.5,0,0,0
16,12/26,@ DAL,L   21-42,1,1,26,46,56.5,260,5.7,0,1,4,31,63.7,1,1,1,1,1,1
17,01/01,GB,L   24-31,1,1,26,41,63.4,347,8.5,2,1,2,15,96.3,0,0,0,0,0,0
